Title	Guidance	"DUE
DATE"	JAN		FEB		MAR		APR		MAY		JUN		JUL		AUG		SEP		OCT		NOV		DEC		"PROGRESS 
(%)"
			JAN		FEB		MAR		APR		MAY		JUN		JUL		AUG		SEP		OCT		NOV		DEC		
			PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	
																											
EIP and reduction plan	"In continuation of 2024, The country will communicate and track the implementation of the Environmental Improvement and reduction Plan.  The used template is  Environmental Improvement Plan GL-WFT-OEPS-L4-13.01
document link: https://OEPSOnline/DocumentDownload?docid=D001161128. 

EIP shall be communicated to the country Leadership and frontline through  HSE meeting/ operations meeting / Environment meeting and the communication shall be recorded on WPTS"	14-Feb-25	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		92%
12 Facility Inspections	"Each operational Weatherford facility will conduct 1 facility inspection per month involving HSE and leadership at the location.  This will be assessed at Country Level.

Inspection shall be recorded on WPTS as QHSSE Meeting/ meeting type (Workshop/ Office Inspection), Alternate Meeting Number: 2025-ASA-FIY

Inspection shall be completed utilizing:

- Facility Inspection Checklist - Workshop
GL-WFT-OEPS-L3-04.06

- Facility Inspection Checklist - Yard GL-WFT-OEPS-L3-04.07

- FACILITY INSPECTION CHECKLIST - OFFICE GL-WFT-OEPS-L3-04.05"	31-Dec-25	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0		100%
Incident Management	"Conduct a Management Review of the investigation findings, root cause analysis, and proposed 
corrective actions within 21 days of the incident. Invitees for the Management Review include the 
follow appropriate to the PC severity:
• PC3 Track & Trend: Immediate Supervisor review and approval.
• PC3 Fishbone/5-Why: Geozone Management review
• PC2: Geozone Management review
• PC1: Geozone and Serious Incident Review Committee Management review "	1-Dec-25	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		96%
Leadership Site Engagement (LSE) Country	LSE program shall be tracked and reviewed over the Global Leadership Dashboard	31-Dec-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0		100%
Close All HSSE Audits from 2023-2024	"
close all outstanding actions from HSE audits conducted between 2019-2022, in addition, close open audits in 2023 on timely manner"	31-Dec-25	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		100%
Country/ facility Legal Register<br>	"Country HSSE will complete/review  the Country Legal Register, conduct a review of any legislative changes, and action accordingly. Records are to be uploaded on the Global Environmental Portal. 

legislation changes/ updates shall be reviewed with the country leadership and recorded on WPTS as QHSSE meeting, meeting type (WFT Location),  Alternate Meeting Number: 2025-ASA-CLR"	31-Dec-25	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0		100%
HSSE Competency	HSE Core > 95% Compliance is assessed at Country Level. 	31-Dec-25	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0		100%
Driving Operations Risk Management	Review and Update Driving Risk Assessment per country/ area. revised Risk assessment shall be uploaded on Asia HSSE SharePoint, Rik Assessments page.	31-Dec-25	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		96%
Fire Risk Assessment	Conduct a comprehensive fire risk assessment of facilities and worksites. revised Risk assessment shall be uploaded on Asia HSSE SharePoint, Rik Assessments page.	31-Dec-25	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		92%
Electrical Risk Assessment	Conduct a comprehensive risk assessment of facilities, worksites, and rigs to identify areas with potential electrical hazards. revised Risk assessment shall be uploaded on Asia HSSE SharePoint, Rik Assessments page.	31-Dec-25	1	2	1	3	1	3	1	2	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1		100%
Machine guarding review and inspection	Conduct documented inspections of machine guards every 36 months or as per the manufacturer’s instructions if more frequently. 2025 to be set as start year of tracking. this obje	31-Dec-25	1	3	0	3	0	4	1	1	0	1	0	1	1	2	0	2	0	1	1	2	0	2	0		100%
Emergency Response process	"Emergency response plans shall be reviewed and covering all the below elements.
- Conduct annual review and update of the rescue plan.
- ERP per each facility/country"	31-Dec-25	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	2	0		100%
Hazard Hunt	Conduct Monthly Hazard hunt in each facility. the Hazard hunt activity shall be conducted by all facility parties (PL/ R&M/ Support functions)	31-Dec-25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		92%
Short Service Employee Program	Quarterly verify compliance to the company induction and short service requirements of subordinates. This shall include but not limited to Rightstart program, compliance to Core competency, PPE requirements, mentor assignement.	31-Dec-25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		92%
Safety 101	"Roll out Safety 101 training programs throughout the country to enhance the competency of frontline members, supervisors, and managers addressing a range of essential safety practices across frontline and leadership members.

Records shall be tracked through HCM and WCAP"	31-Dec-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0		100%
Safety 201	"Roll out Safety 201 training programs throughout the country to enhance the competency of frontline supervisors, 

Records shall be tracked through HCM and WCAP"	31-Aug-25	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0		100%
