2025 HSE PROGRAM	PLAN		JAN		FEB		MAR		APR		MAY		JUN		JUL		AUG		SEP		OCT		NOV		DEC		"PROGRESS 
(%)"
		"DUE
DATE"	JAN		FEB		MAR		APR		MAY		JUN		JUL		AUG		SEP		OCT		NOV		DEC		
			PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	PLAN	ACTUAL	
Provide weekly Driver driving performance report (RAG) fro review	4 report/Month																										
Conduct Driver and Vehilce Safety Standard Audit for Duri, Narogong & Balikpapan	3 Base in a Year	31-Dec-25	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		92%
Conduct vehilce compliance spot check for Duri and Narogong	Monthly	14-Feb-25	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0		100%
Driving Safety Campaign for All Indonesia Base (Duri, Narogong & Balikpapan)	One times in year	31-Dec-25	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		96%
Review Driver Driving performance for all driver in Indonesia	Monthly	1-Dec-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0		100%
Conduct Driver Coaching (offline or Online Meeting) for Yellow and Red Driver in Indonesia	Quarterly	31-Dec-25	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		100%
Motor Vehilce Safety Training  / Commentary Drive 	Quarterly	31-Dec-25	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0		100%
Submit RADAR Card intervention (average 2 RADAR / emp / month, Based on WPTS Report)	24 cards/employee/year	31-Dec-25	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0		100%
Conduct HSE Monthly Meeting per Base	Monthly / Base	31-Dec-25	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		96%
Conduct Facility Inspection (combined report for Indonesia / month)	Monthly	31-Dec-25	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		92%
Conduct Field Inspection / MWT (the report is combined from Leadership in Indonesia)	Quarterly	31-Dec-25	1	2	1	3	1	3	1	2	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1		100%
Leadership Safety Engagement (LSE) to cover 3 Bases (Duri, Narogong, Balikpapan)	Quarterly	31-Dec-25	1	3	0	3	0	4	1	1	0	1	0	1	1	2	0	2	0	1	1	2	0	2	0		100%
HSE Reward program for best employees in Indonesia	3 reward/month/base	31-Dec-25	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	2	0		100%
Conduct HSE induction/orientation training for new visitors and new hired employes/contractors	100% new visitors and new comer are inducted	31-Dec-25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		92%
Conduct Contractor Audit for High Risk Contractors 	Annually 	31-Dec-25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		92%
Conduct Contractor SQM Meeting for High Risk Contractors and Discuss progress HSE KPI for high risk contractor	Annually 	31-Dec-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0		100%
Conduct Management Review Meeting	Annually 	31-Dec-25	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0		100%
